,Last Name Chi,First Name Chi,Chi Name,Prefix CN,Last Name Eng,First Name Eng,Eng Name,Prefix,Gender,Category,Organization,Year,Award
31,鍾,逸傑,鍾逸傑爵士,爵士,AKERS,David -JONES,Sir David AKERS-JONES,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Grand Bauhinia Medal
32,田,長霖,田長霖教授,教授,TIEN,Chang-lin,TIEN Chang-lin,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2002,Grand Bauhinia Medal
33,劉,皇發,劉皇發議員,議員,LAU,Wong-fat,LAU Wong-fat,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Grand Bauhinia Medal
34,蔣,震,蔣　震博士,博士,CHIANG,Chen,CHIANG Chen,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2005,Grand Bauhinia Medal
35,李,業廣,李業廣議員,議員,LEE,Yeh-kwong,LEE Yeh-kwong,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Grand Bauhinia Medal
36,李,東海,李東海博士,博士,LEE,Tung-hai,LEE Tung-hai,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Grand Bauhinia Medal
37,董,建華,董建華先生,先生,TUNG,Chee Hwa,TUNG Chee Hwa,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2006,Grand Bauhinia Medal
38,范,徐麗泰,范徐麗泰議員,議員,FAN,HSU Lai-tai,Mrs. FAN HSU Lai-tai,Mrs.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2007,Grand Bauhinia Medal
39,李,國寶,李國寶議員,議員,LI,Kwok-po,LI Kwok-po,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2007,Grand Bauhinia Medal
40,李,兆基,李兆基博士,博士,LEE,Shau-kee,LEE Shau-kee,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2007,Grand Bauhinia Medal
41,李,國能法官,李國能首席法官,首席,LI,Kwok-nang,LI Kwok-nang,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2008,Grand Bauhinia Medal
42,胡,鴻烈,胡鴻烈博士,博士,HU,Hung-lick,HU Hung-lick,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2008,Grand Bauhinia Medal
43,鄭,裕彤,鄭裕彤博士,博士,CHENG,Yu-tung,CHENG Yu-tung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2008,Grand Bauhinia Medal
44,陳,瑞球,陳瑞球博士,博士,CHAN,Sui-kau,CHAN Sui-kau,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2008,Grand Bauhinia Medal
45,唐,英年,唐英年先生,先生,TANG,Ying-yen,TANG Ying-yen,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2009,Grand Bauhinia Medal
46,夏,利萊,夏利萊博士,博士,HARILELA,Hari Naroomal,Hari Naroomal HARILELA,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2009,Grand Bauhinia Medal
47,任,志剛,任志剛先生,先生,YAM,Chi-kwong,YAM Chi-kwong,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2009,Grand Bauhinia Medal
48,曾,俊華,曾俊華先生,先生,TSANG,Chun-wah,TSANG Chun-wah,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2010,Grand Bauhinia Medal
49,夏,佳理,夏佳理議員,議員,ARCULLI,Ronald Joseph,Ronald Joseph ARCULLI,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2010,Grand Bauhinia Medal
50,梁,智鴻,梁智鴻議員,議員,LEONG,Che-hung,LEONG Che-hung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2010,Grand Bauhinia Medal
51,何,鴻燊,何鴻燊博士,博士,HO,Hung-sun,HO Hung-sun,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2010,Grand Bauhinia Medal
52,馮,國經,馮國經博士,博士,FUNG,Kwok-king,FUNG Kwok-king,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2010,Grand Bauhinia Medal
53,田,家炳,田家炳博士,博士,TIN,Ka-ping,TIN Ka-ping,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2010,Grand Bauhinia Medal
54,高,錕,高　錕爵士,爵士,KAO,Charles,Sir Charles KAO,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2010,Grand Bauhinia Medal
55,梁,振英,梁振英議員,議員,LEUNG,Chun-ying,LEUNG Chun-ying,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2011,Grand Bauhinia Medal
56,盛,智文,盛智文博士,博士,ZEMAN,Allan,Allan ZEMAN,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2011,Grand Bauhinia Medal
57,馬,道立法官,馬道立首席法官,首席,MA,Chief Justice Geoffrey  Tao-li,Chief Justice Geoffrey MA Tao-li,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2012,Grand Bauhinia Medal
58,林,瑞麟,林瑞麟先生,先生,LAM,Sui-lung,LAM Sui-lung,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2012,Grand Bauhinia Medal
59,黃,仁龍,黃仁龍先生,先生,WONG,Yan-lung,WONG Yan-lung,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2012,Grand Bauhinia Medal
60,包,致金,包致金法官,法官,BOKHARY,Justice Syed Kemal Shah,Mr. Justice Syed Kemal Shah BOKHARY,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2012,Grand Bauhinia Medal
61,吳,光正,吳光正先生,先生,WOO,Kwong-ching,WOO Kwong-ching,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2012,Grand Bauhinia Medal
62,呂,志和,呂志和博士,博士,LUI,Che-woo,LUI Che-woo,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2012,Grand Bauhinia Medal
63,陳,兆愷,陳兆愷法官,法官,CHAN,Justice  Siu-oi,Mr. Justice CHAN Siu-oi,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2013,Grand Bauhinia Medal
64,梅,師賢,梅師賢爵士,爵士,MASON,Anthony,Sir Anthony MASON,Sir,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2013,Grand Bauhinia Medal
65,釋,覺光,釋覺光法師,法師,KOK,the Most Venerable  Kwong,the Most Venerable KOK Kwong,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2013,Grand Bauhinia Medal
66,譚,惠珠,譚惠珠女士,女士,TAM,Wai-chu,TAM Wai-chu,,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2013,Grand Bauhinia Medal
67,楊,孫西,楊孫西博士,博士,YU,Sunsay,YU Sunsay,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2014,Grand Bauhinia Medal
68,何,柱國,何柱國先生,先生,HO,Tsu-kwok,HO Tsu-kwok,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2014,Grand Bauhinia Medal
69,曾,鈺成,曾鈺成議員,議員,TSANG,Yok-sing,TSANG Yok-sing,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2015,Grand Bauhinia Medal
70,鄭,耀棠,鄭耀棠議員,議員,CHENG,Yiu-tong,CHENG Yiu-tong,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2015,Grand Bauhinia Medal
71,何,世柱,何世柱先生,先生,HO,Sai-chu,HO Sai-chu,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2015,Grand Bauhinia Medal
72,李,達三,李達三博士,博士,LI,Dak-sum,LI Dak-sum,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2015,Grand Bauhinia Medal
73,林,鄭月娥,林鄭月娥女士,女士,LAM,CHENG Yuet-ngor,Mrs. LAM CHENG Yuet-ngor,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2016,Grand Bauhinia Medal
74,譚,耀宗,譚耀宗議員,議員,TAM,Yiu-chung,TAM Yiu-chung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2016,Grand Bauhinia Medal
75,陳,永棋,陳永棋先生,先生,CHAN,Wing-kee,CHAN Wing-kee,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2016,Grand Bauhinia Medal
76,羅,仲榮,羅仲榮博士,博士,LO,Chung-wing,LO Chung-wing,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2016,Grand Bauhinia Medal
77,胡,法光,胡法光先生,先生,HU,Fa-kuang,HU Fa-kuang,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2016,Grand Bauhinia Medal
78,鄭,慕智,鄭慕智博士,博士,CHENG,Mo-chi,CHENG Mo-chi,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2016,Grand Bauhinia Medal
79,徐,立之,徐立之教授,教授,TSUI,Lap-chee,TSUI Lap-chee,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2016,Grand Bauhinia Medal
80,張,建宗,張建宗先生,先生,CHEUNG,Kin-chung,CHEUNG Kin-chung,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
81,陳,茂波,陳茂波先生,先生,CHAN,Mo-po,CHAN Mo-po,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
82,袁,國強,袁國強先生,先生,YUEN,Kwok-keung,YUEN Kwok-keung,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
83,史,美倫,史美倫議員,議員,CHA,SHIH May-lung,Mrs. CHA SHIH May-lung,Mrs.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
84,李,國章,李國章議員,議員,LI,Kwok-cheung,LI Kwok-cheung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
85,羅,范椒芬,羅范椒芬議員,議員,LAW,FAN Chiu-fun,Mrs. LAW FAN Chiu-fun,Mrs.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
86,葉,國謙,葉國謙議員,議員,IP,Kwok-him,IP Kwok-him,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
87,羅,康瑞,羅康瑞先生,先生,LO,Hong-sui,LO Hong-sui,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
88,鄭,家純,鄭家純先生,先生,CHENG,Kar-shun,CHENG Kar-shun,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
89,戴,德豐,戴德豐先生,先生,TAI,Tak-fung,TAI Tak-fung,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
90,蘇,澤光,蘇澤光先生,先生,SO,Chak-kwong,SO Chak-kwong,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
91,陳,啟宗,陳啟宗先生,先生,CHAN,Ronnie Chichung,Ronnie Chichung CHAN,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2017,Grand Bauhinia Medal
92,鄧,楨,鄧　楨法官,法官,TANG,Justice  Ching,Mr. Justice TANG Ching,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2018,Grand Bauhinia Medal
93,張,學明,張學明先生,先生,CHEUNG,Hok-ming,CHEUNG Hok-ming,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2018,Grand Bauhinia Medal
94,陳,有慶,陳有慶先生,先生,CHAN,Yau-hing,CHAN Yau-hing,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2018,Grand Bauhinia Medal
95,楊,紫芝,楊紫芝教授,教授,YOUNG,Rosie T. T.,YOUNG Rosie T. T.,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2018,Grand Bauhinia Medal
96,余,國春,余國春先生,先生,YU,Kwok-chun,YU Kwok-chun,,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2019,Grand Bauhinia Medal
97,洪,祖杭,洪祖杭博士,博士,HUNG,Chao-hong,HUNG Chao-hong,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2019,Grand Bauhinia Medal
98,王,永平,王永平先生,先生,WONG,Wing-ping,Mr. WONG Wing-ping,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
99,吳,光正,吳光正先生,先生,WOO,Kwong-ching,Mr. WOO Kwong-ching,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
100,范,徐麗泰,范徐麗泰議員,議員,FAN,HSU Lai-tai,Mrs. FAN HSU Lai-tai,Mrs.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
101,施,德論,施德論先生,先生,STRICKLAND,John Estmond,Mr. John Estmond STRICKLAND,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
102,胡,鴻烈,胡鴻烈博士,博士,HU,Hung-lick,Dr. HU Hung-lick,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
103,鄒,文懷,鄒文懷先生,先生,CHOW,Raymond,Mr. Raymond CHOW,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
104,劉,皇發,劉皇發議員,議員,LAU,Wong-fat,LAU Wong-fat,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
105,鄭,漢鈞,鄭漢鈞博士,博士,CHENG,Hon-kwan,Dr. CHENG Hon-kwan,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
106,謝,志偉,謝志偉博士,博士,TSE,Chi-wai,Dr. TSE Chi-wai,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
107,鄺,其志,鄺其志先生,先生,KWONG,Ki-chi,Mr. KWONG Ki-chi,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
108,羅,康瑞,羅康瑞先生,先生,LO,Hong-sui,Mr. LO Hong-sui,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
109,譚,惠珠,譚惠珠女士,女士,TAM,Wai-chu,Miss TAM Wai-chu,Miss,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1998,Gold Bauhinia Star
110,方,黃吉雯,方黃吉雯議員,議員,FONG,WONG Kut-man,Mrs. FONG WONG Kut-man,Mrs.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
111,李,東海,李東海先生,先生,LEE,Tung-hai,Mr. LEE Tung-hai,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
112,唐,翔千,唐翔千先生,先生,TANG,Hsiang-chien,Mr. TANG Hsiang-chien,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
113,孫,明揚,孫明揚先生,先生,SUEN,Ming-yeung,Mr. SUEN Ming-yeung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
114,馬,天敏,馬天敏法官,法官,MORTIMER,Justice John Barry,Mr. Justice John Barry MORTIMER,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
115,梁,振英,梁振英議員,議員,LEUNG,Chun-ying,LEUNG Chun-ying,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
116,梁,錦松,梁錦松議員,議員,LEUNG,Kam-chung,LEUNG Kam-chung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
117,陳,祖澤,陳祖澤先生,先生,CHAN,Cho Chak,Mr. CHAN Cho Chak,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
118,黃,匡源,黃匡源先生,先生,WONG,Hong-yuen,Mr. WONG Hong-yuen,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
119,黃,建立,黃建立先生,先生,WONG,Kin-lap,Mr. WONG Kin-lap,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
120,廖,子明,廖子明法官,法官,LIU,Justice  Tsz-ming,Mr. Justice LIU Tsz-ming,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
121,錢,果豐,錢果豐議員,議員,CH,'IEN Kuo-fung,CH'IEN Kuo-fung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
122,霍,羅兆貞,霍羅兆貞女士,女士,FOK,LO Shiu-ching,Mrs. FOK LO Shiu-ching,Mrs.,F,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
123,鮑,偉華,鮑偉華法官,法官,POWER,Justice Noel Plunkett,Mr. Justice Noel Plunkett POWER,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
124,鄺,漢生,鄺漢生先生,先生,KWONG,Hon-sang,Mr. KWONG Hon-sang,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
125,譚,耀宗,譚耀宗議員,議員,TAM,Yiu-chung,TAM Yiu-chung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
126,溫,法德,溫法德先生,先生,WINGFIELD,Ian George McCurdy,Mr. Ian George McCurdy WINGFIELD,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,1999,Gold Bauhinia Star
127,李,業廣,李業廣議員,議員,LEE,Charles  Yeh-kwong,Charles LEE Yeh-kwong,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
128,唐,英年,唐英年議員,議員,TANG,Henry  Ying-yen,Henry TANG Ying-yen,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
129,鍾,瑞明,鍾瑞明議員,議員,CHUNG,Shui-ming,CHUNG Shui-ming,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
130,黃,星華,黃星華先生,先生,WONG,Dominic  Shing-wah,Mr. Dominic WONG Shing-wah,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
131,林,煥光,林煥光先生,先生,LAM,Woon-kwong,Mr. LAM Woon-kwong,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
132,藍,鴻震,藍鴻震先生,先生,LAN,Hong-tsung,Mr. LAN Hong-tsung,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
133,黎,守律,黎守律法官,法官,NAZARETH,Justice Gerald Paul,Mr. Justice Gerald Paul NAZARETH,Mr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
134,李,國章,李國章教授,教授,LI,Professor  Kwok-cheung,Professor LI Kwok-cheung,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
135,吳,家瑋,吳家瑋教授,教授,WOO,Professor  Chia-wei,Professor WOO Chia-wei,,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
136,夏,利萊,夏利萊博士,博士,HARILELA,Hari,Dr. Hari HARILELA,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
137,利,漢釗,利漢釗博士,博士,LEE,Hon-chiu,Dr. LEE Hon-chiu,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
138,梁,乃鵬,梁乃鵬先生,先生,LEUNG,Nai-pang,Mr. LEUNG Nai-pang,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
139,陳,永棋,陳永棋先生,先生,CHAN,Wing-kee,Mr. CHAN Wing-kee,Mr.,M,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
140,陳,有慶,陳有慶博士,博士,CHAN,Yau-hing,Dr. CHAN Yau-hing,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
141,劉,華森,劉華森博士,博士,LAU,Wah-sum,Dr. LAU Wah-sum,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
142,鍾,期榮,鍾期榮博士,博士,CHUNG,Chi-yung,Dr. CHUNG Chi-yung,Dr.,,Awards & Recognitions,Hong Kong Special Administrative Region Honours and Awards,2000,Gold Bauhinia Star
