,Last Name Chi,First Name Chi,Chi Name,Prefix CN,Last Name Eng,First Name Eng,Preferred Name Eng,Eng Name,Gender,Category,Organization,Award Date,Award
26,陳,秀芳,陳秀芳女士,女士,CHAN,Sau-fong, Jennifer,"CHAN Sau-fong, Jennifer",F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
27,陳,尚文,陳尚文,,CHAN,Sheung-man,,CHAN Sheung-man,,Awards & Recognitions,Justices of the Peace,2018-06-29,Justices of the Peace
28,陳,選堯,陳選堯,,CHAN,Shuen-yiu,,CHAN Shuen-yiu,,Awards & Recognitions,Justices of the Peace,2008-07-11,Justices of the Peace
29,陳,帥夫,陳帥夫,,CHAN,Shui-fu, Andy,"CHAN Shui-fu, Andy",,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
30,陳,萃如,陳萃如女士,女士,CHAN,Shui-yu, Marion,"CHAN Shui-yu, Marion",F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
31,陳,肇始,陳肇始教授,教授,CHAN,Siu-chee, Sophia,"CHAN Siu-chee, Sophia",,Awards & Recognitions,Justices of the Peace,2012-11-30,Justices of the Peace
32,陳,瑞緯,陳瑞緯,,CHAN,Sui-wai,,CHAN Sui-wai,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
33,陳,天柱,陳天柱,,CHAN,Tin-chu,,CHAN Tin-chu,,Awards & Recognitions,Justices of the Peace,2016-03-22,Justices of the Peace
34,陳,偉基,陳偉基,,CHAN,Wai-kee, Howard,"CHAN Wai-kee, Howard",,Awards & Recognitions,Justices of the Peace,2009-07-01,Justices of the Peace
35,陳,維民,陳維民,,CHAN,Wai-man,,CHAN Wai-man,,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
36,陳,詠雯,陳詠雯女士,女士,CHAN,Wing-man,,CHAN Wing-man,F,Awards & Recognitions,Justices of the Peace,2017-06-30,Justices of the Peace
37,陳,穎韶,陳穎韶女士,女士,CHAN,Wing-shiu,,CHAN Wing-shiu,F,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
38,陳,煥兒,陳煥兒女士,女士,CHAN,Woon-yee, Julina,"CHAN Woon-yee, Julina",F,Awards & Recognitions,Justices of the Peace,2008-07-01,Justices of the Peace
39,張,琼瑤,張琼瑤女士,女士,CHANG,King-yiu,,CHANG King-yiu,F,Awards & Recognitions,Justices of the Peace,1999-07-01,Justices of the Peace
40,鄭,偉源,鄭偉源,,CHANG,Wai-yuen,,CHANG Wai-yuen,,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
41,周,世威,周世威,,CHAU,Sai-wai,,CHAU Sai-wai,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
42,周,紹喜,周紹喜工程師,工程師,CHAU,Siu-hei,,CHAU Siu-hei,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
43,鄭,楚明,鄭楚明博士,博士,CHENG,Cho-ming,,CHENG Cho-ming,,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
44,鄭,鍾偉,鄭鍾偉,,CHENG,Chung-wai,,CHENG Chung-wai,,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
45,鄭,錦榮,鄭錦榮,,CHENG,Kam-wing,,CHENG Kam-wing,,Awards & Recognitions,Justices of the Peace,2010-07-01,Justices of the Peace
46,鄭,琪,鄭琪,,CHENG,Kei,,CHENG Kei,,Awards & Recognitions,Justices of the Peace,2017-06-30,Justices of the Peace
47,鄭,健,鄭健,,CHENG,Kin,,CHENG Kin,,Awards & Recognitions,Justices of the Peace,2018-06-29,Justices of the Peace
48,鄭,港涌,鄭港涌,,CHENG,Kong-chung,,CHENG Kong-chung,,Awards & Recognitions,Justices of the Peace,2020-01-17,Justices of the Peace
49,鄭,美施,鄭美施女士,女士,CHENG,Mei-sze, Maisie,"CHENG Mei-sze, Maisie",F,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
50,張,少猷,張少猷,,CHEONG,Siu-yau,,CHEONG Siu-yau,,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
51,張,綺薇,張綺薇女士,女士,CHEUNG,, Amy Yi-mei,"CHEUNG, Amy Yi-mei",F,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
52,張,錦慧,張錦慧女士,女士,CHEUNG,Kam-wai, Christina,"CHEUNG Kam-wai, Christina",F,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
53,張,建宗,張建宗,,CHEUNG,Kin-chung, Matthew,"CHEUNG Kin-chung, Matthew",,Awards & Recognitions,Justices of the Peace,1994-03-23,Justices of the Peace
54,張,國財,張國財,,CHEUNG,Kwok-choi,,CHEUNG Kwok-choi,,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
55,張,麗玲,張麗玲女士,女士,CHEUNG,, Lillian,"CHEUNG, Lillian",F,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
56,張,美珠,張美珠女士,女士,CHEUNG,Mei-chu, Doris,"CHEUNG Mei-chu, Doris",F,Awards & Recognitions,Justices of the Peace,2006-07-14,Justices of the Peace
57,張,秀蘭,張秀蘭女士,女士,CHEUNG,, Susanna Sau-lan,"CHEUNG, Susanna Sau-lan",F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
58,張,天祥,張天祥,,CHEUNG,Tin-cheung,,CHEUNG Tin-cheung,,Awards & Recognitions,Justices of the Peace,2015-07-01,Justices of the Peace
59,張,偉文,張偉文工程師,工程師,CHEUNG,Wai-man,,CHEUNG Wai-man,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
60,張,遠芳,張遠芳,,CHEUNG,Yuen-fong,,CHEUNG Yuen-fong,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
61,蔣,翠雲,蔣翠雲女士,女士,CHIANG,Chui-wan,,CHIANG Chui-wan,F,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
62,趙,凱渝,趙凱渝女士,女士,CHIU,Hoi-yue, Alice,"CHIU Hoi-yue, Alice",F,Awards & Recognitions,Justices of the Peace,2012-06-30,Justices of the Peace
63,趙,國傑,趙國傑,,CHIU,Kwok-kit,,CHIU Kwok-kit,,Awards & Recognitions,Justices of the Peace,2008-07-01,Justices of the Peace
64,趙,佩燕,趙佩燕醫生,醫生,CHIU,Pui-yin,,CHIU Pui-yin,,Awards & Recognitions,Justices of the Peace,2010-07-01,Justices of the Peace
65,趙,燕驊,趙燕驊,,CHIU,Yin-wa, David,"CHIU Yin-wa, David",,Awards & Recognitions,Justices of the Peace,2017-10-13,Justices of the Peace
66,蔡,傑銘,蔡傑銘,,CHOI,, Kevin,"CHOI, Kevin",,Awards & Recognitions,Justices of the Peace,2017-06-30,Justices of the Peace
67,蔡,立耀,蔡立耀,,CHOI,Lap-yiu,,CHOI Lap-yiu,,Awards & Recognitions,Justices of the Peace,2009-07-01,Justices of the Peace
68,蔡,美儀,蔡美儀醫生,醫生,CHOI,Mei-yee,,CHOI Mei-yee,,Awards & Recognitions,Justices of the Peace,2012-06-30,Justices of the Peace
69,蔡,淑嫻,蔡淑嫻女士,女士,CHOI,Suk-han, Annie,"CHOI Suk-han, Annie",F,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
70,莊,永桓,莊永桓,,CHONG,Wing-wun,,CHONG Wing-wun,,Awards & Recognitions,Justices of the Peace,2017-08-25,Justices of the Peace
71,莊,因東,莊因東,,CHONG,Yan-tung,,CHONG Yan-tung,,Awards & Recognitions,Justices of the Peace,2015-07-01,Justices of the Peace
72,左,健蘭,左健蘭女士,女士,CHOR,Kin-lan, Anna,"CHOR Kin-lan, Anna",F,Awards & Recognitions,Justices of the Peace,2016-05-06,Justices of the Peace
73,周,淑貞,周淑貞女士,女士,CHOW,Shuk-ching, Mary,"CHOW Shuk-ching, Mary",F,Awards & Recognitions,Justices of the Peace,2001-07-01,Justices of the Peace
74,周,達明,周達明,,CHOW,Tat-ming, Thomas,"CHOW Tat-ming, Thomas",,Awards & Recognitions,Justices of the Peace,2001-07-01,Justices of the Peace
75,朱,立翹,朱立翹女士,女士,CHU,Lap-kiu, Carmen,"CHU Lap-kiu, Carmen",F,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
76,朱,曼鈴,朱曼鈴女士,女士,CHU,Man-ling,,CHU Man-ling,F,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
77,朱,乃璋,朱乃璋,,CHU,Nai-cheung, John,"CHU Nai-cheung, John",,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
78,朱,兆荃,朱兆荃,,CHU,Siu-chuen, Francis,"CHU Siu-chuen, Francis",,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
79,張,竹君,張竹君醫生,醫生,CHUANG,Shuk-kwan,,CHUANG Shuk-kwan,,Awards & Recognitions,Justices of the Peace,2012-06-30,Justices of the Peace
80,徐,浩光,徐浩光博士,博士,CHUI,Ho-kwong,,CHUI Ho-kwong,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
81,徐,德義,徐德義醫生,醫生,CHUI,Tak-yi,,CHUI Tak-yi,,Awards & Recognitions,Justices of the Peace,2017-08-25,Justices of the Peace
82,鍾,麗玲,鍾麗玲女士,女士,CHUNG,Lai-ling,,CHUNG Lai-ling,F,Awards & Recognitions,Justices of the Peace,2009-07-01,Justices of the Peace
83,鍾,文傑,鍾文傑,,CHUNG,Man-kit, Ivan,"CHUNG Man-kit, Ivan",,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
84,鍾,雅之,鍾雅之女士,女士,CHUNG,Nga-chi, Eugenia,"CHUNG Nga-chi, Eugenia",F,Awards & Recognitions,Justices of the Peace,2017-07-21,Justices of the Peace
85,鍾,沛康,鍾沛康,,CHUNG,Pui-hong, Davey,"CHUNG Pui-hong, Davey",,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
86,鍾,偉强,鍾偉强博士,博士,CHUNG,Wai-keung, David,"CHUNG Wai-keung, David",,Awards & Recognitions,Justices of the Peace,2017-08-25,Justices of the Peace
87,鍾,偉強,鍾偉強工程師,工程師,CHUNG,Wai-keung, Philip,"CHUNG Wai-keung, Philip",,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
88,范,偉明,范偉明,,FAN,Wai-ming, Raymond,"FAN Wai-ming, Raymond",,Awards & Recognitions,Justices of the Peace,2007-07-01,Justices of the Peace
89,范,婉雯,范婉雯醫生,醫生,FAN,Yuen-man, Cecilia,"FAN Yuen-man, Cecilia",,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
90,方,學誠,方學誠工程師,工程師,FONG,Hok-shing, Michael,"FONG Hok-shing, Michael",,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
91,方,毅,方毅,,FONG,Ngai,,FONG Ngai,,Awards & Recognitions,Justices of the Peace,2019-08-30,Justices of the Peace
92,傅,小慧,傅小慧女士,女士,FOO,Siu-wai, Gracie,"FOO Siu-wai, Gracie",F,Awards & Recognitions,Justices of the Peace,2005-07-01,Justices of the Peace
93,馮,程淑儀,馮程淑儀女士,女士,FUNG,CHING Suk-yee, Betty,"FUNG CHING Suk-yee, Betty",F,Awards & Recognitions,Justices of the Peace,2003-07-01,Justices of the Peace
94,馮,建業,馮建業,,FUNG,Kin-yip, Eugene,"FUNG Kin-yip, Eugene",,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
95,馮,雅慧,馮雅慧女士,女士,FUNG,Ngar-wai, Aubrey,"FUNG Ngar-wai, Aubrey",F,Awards & Recognitions,Justices of the Peace,2016-01-25,Justices of the Peace
96,馮,泳萍,馮泳萍女士,女士,FUNG,Wing-ping, Angelina,"FUNG Wing-ping, Angelina",F,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
97,簡,賢亮,簡賢亮,,GANNON,Stefan Michael,,Stefan Michael GANNON,,Awards & Recognitions,Justices of the Peace,1995-05-16,Justices of the Peace
98,何,漢傑,何漢傑,,HO,Hon-kit,,HO Hon-kit,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
99,何,作柱,何作柱,,HO,Jock-chu,,HO Jock-chu,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
100,何,啟明,何啟明,,HO,Kai-ming,,HO Kai-ming,,Awards & Recognitions,Justices of the Peace,2020-06-12,Justices of the Peace
101,何,錦標,何錦標,,HO,Kam-biu,,HO Kam-biu,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
102,何,建生,何建生,,HO,Kin-sang, Kenneth,"HO Kin-sang, Kenneth",,Awards & Recognitions,Justices of the Peace,2012-06-30,Justices of the Peace
103,何,珏珊,何珏珊女士,女士,HO,Kwok-shan, Joyce,"HO Kwok-shan, Joyce",F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
104,何,麗嫦,何麗嫦女士,女士,HO,Lai-sheung,,HO Lai-sheung,F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
105,何,孟儀,何孟儀醫生,醫生,HO,Mang-yee,,HO Mang-yee,,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
106,何,蓓茵,何蓓茵女士,女士,HO,Poi-yan, Ingrid,"HO Poi-yan, Ingrid",F,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
107,何,珮玲,何珮玲女士,女士,HO,Pui-ling,,HO Pui-ling,F,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
108,何,德賢,何德賢,,HO,Tak-yin,,HO Tak-yin,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
109,何,詠詩,何詠詩女士,女士,HO,Wing-sze,,HO Wing-sze,F,Awards & Recognitions,Justices of the Peace,2016-01-18,Justices of the Peace
110,何,永賢,何永賢女士,女士,HO,Wing-yin, Winnie,"HO Wing-yin, Winnie",F,Awards & Recognitions,Justices of the Peace,2017-06-30,Justices of the Peace
111,何,玉賢,何玉賢醫生,醫生,HO,Yuk-yin, Philip,"HO Yuk-yin, Philip",,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
112,許,正宇,許正宇,,HUI,Ching-yu,,HUI Ching-yu,,Awards & Recognitions,Justices of the Peace,2020-05-08,Justices of the Peace
113,許,柏坤,許柏坤,,HUI,Pak-kwan,,HUI Pak-kwan,,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
114,葉,百強,葉百強,,IP,Pak-keung,,IP Pak-keung,,Awards & Recognitions,Justices of the Peace,2015-07-01,Justices of the Peace
115,詹,婉珊,詹婉珊女士,女士,JIM,Yuen-shan, Sandy,"JIM Yuen-shan, Sandy",F,Awards & Recognitions,Justices of the Peace,2017-06-30,Justices of the Peace
116,,Karen Deborah KEMP,Karen Deborah KEMP,,KEMP,Karen Deborah,,Karen Deborah KEMP,,Awards & Recognitions,Justices of the Peace,2010-07-01,Justices of the Peace
117,江,潤珊,江潤珊女士,女士,KONG,Yun-shan, Annie,"KONG Yun-shan, Annie",F,Awards & Recognitions,Justices of the Peace,2016-10-27,Justices of the Peace
118,關,婉儀,關婉儀女士,女士,KWAN,Yuen-yee,,KWAN Yuen-yee,F,Awards & Recognitions,Justices of the Peace,2019-08-30,Justices of the Peace
119,郭,偉勳,郭偉勳,,KWOK,Wai-fan,,KWOK Wai-fan,,Awards & Recognitions,Justices of the Peace,2012-04-16,Justices of the Peace
120,郭,慧玲,郭慧玲女士,女士,KWOK,Wai-ling, Polly,"KWOK Wai-ling, Polly",F,Awards & Recognitions,Justices of the Peace,2019-08-30,Justices of the Peace
121,鄺,國威,鄺國威醫生,醫生,KWONG,Kwok-wai, Heston,"KWONG Kwok-wai, Heston",,Awards & Recognitions,Justices of the Peace,2012-06-30,Justices of the Peace
122,鄺,寶昌,鄺寶昌,,KWONG,, Thomas Edward,"KWONG, Thomas Edward",,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
123,黎,陳芷娟,黎陳芷娟女士,女士,LAI,CHAN Chi-kuen, Marion,"LAI CHAN Chi-kuen, Marion",F,Awards & Recognitions,Justices of the Peace,1998-07-01,Justices of the Peace
124,黎,卓豪,黎卓豪工程師,工程師,LAI,Cheuk-ho,,LAI Cheuk-ho,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
125,黎,志東,黎志東,,LAI,Chi-tung,,LAI Chi-tung,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
126,黎,志華,黎志華,,LAI,Chi-wah, Andrew,"LAI Chi-wah, Andrew",,Awards & Recognitions,Justices of the Peace,2010-07-01,Justices of the Peace
127,黎,以德,黎以德,,LAI,Yee-tak, Joseph,"LAI Yee-tak, Joseph",,Awards & Recognitions,Justices of the Peace,2000-07-01,Justices of the Peace
128,林,嘉泰,林嘉泰,,LAM,Ka-tai,,LAM Ka-tai,,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
129,林,錦平,林錦平女士,女士,LAM,Kam-ping, Joey,"LAM Kam-ping, Joey",F,Awards & Recognitions,Justices of the Peace,2008-07-01,Justices of the Peace
130,林,潔儀,林潔儀女士,女士,LAM,Kit-yi,,LAM Kit-yi,F,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
131,林,文健,林文健醫生,醫生,LAM,Man-kin,,LAM Man-kin,,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
132,林,敏儀,林敏儀女士,女士,LAM,Man-yee, Eileen,"LAM Man-yee, Eileen",F,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
133,林,雅雯,林雅雯女士,女士,LAM,Nga-man, Pamela,"LAM Nga-man, Pamela",F,Awards & Recognitions,Justices of the Peace,2019-10-11,Justices of the Peace
134,林,世雄,林世雄,,LAM,Sai-hung,,LAM Sai-hung,,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
135,林,雪麗,林雪麗女士,女士,LAM,Shuet-lai, Shirley,"LAM Shuet-lai, Shirley",F,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
136,林,德昭,林德昭醫生,醫生,LAM,Tak-chiu, Wiley,"LAM Tak-chiu, Wiley",,Awards & Recognitions,Justices of the Peace,2010-07-01,Justices of the Peace
137,林,達明,林達明工程師,工程師,LAM,Tat-ming,,LAM Tat-ming,,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
138,林,偉喬,林偉喬,,LAM,Wai-kiu, Victor,"LAM Wai-kiu, Victor",,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
139,劉,震,劉震,,LAU,Chun,,LAU Chun,,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
140,劉,俊傑,劉俊傑,,LAU,Chun-kit,,LAU Chun-kit,,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
141,劉,中健,劉中健,,LAU,Chung-kin,,LAU Chung-kin,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
142,劉,家麒,劉家麒,,LAU,Ka-ki, Wallace,"LAU Ka-ki, Wallace",,Awards & Recognitions,Justices of the Peace,2017-06-30,Justices of the Peace
143,劉,利群,劉利群女士,女士,LAU,Lee-kwan,,LAU Lee-kwan,F,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
144,劉,心怡,劉心怡女士,女士,LAU,Sum-yee, Sharon,"LAU Sum-yee, Sharon",F,Awards & Recognitions,Justices of the Peace,2012-06-30,Justices of the Peace
145,劉,慧娟,劉慧娟女士,女士,LAU,Wai-kuen, Grace,"LAU Wai-kuen, Grace",F,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
146,劉,焱,劉焱女士,女士,LAU,Yim,,LAU Yim,F,Awards & Recognitions,Justices of the Peace,2007-07-01,Justices of the Peace
147,劉,嫣華,劉嫣華女士,女士,LAU,Yin-wah, Emma,"LAU Yin-wah, Emma",F,Awards & Recognitions,Justices of the Peace,1998-07-01,Justices of the Peace
148,羅,翠薇,羅翠薇女士,女士,LAW,Chui-mei, Ivy,"LAW Chui-mei, Ivy",F,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
149,羅,淑佩,羅淑佩女士,女士,LAW,Shuk-pui, Rosanna,"LAW Shuk-pui, Rosanna",F,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
150,李,碧茜,李碧茜女士,女士,LEE,Bik-sai, Ida,"LEE Bik-sai, Ida",F,Awards & Recognitions,Justices of the Peace,2018-07-01,Justices of the Peace
151,李,忠善,李忠善,,LEE,Chung-sin,,LEE Chung-sin,,Awards & Recognitions,Justices of the Peace,2006-07-01,Justices of the Peace
152,李,頌恩,李頌恩女士,女士,LEE,Chung-yan, Angela,"LEE Chung-yan, Angela",F,Awards & Recognitions,Justices of the Peace,2016-07-01,Justices of the Peace
153,李,杏怡,李杏怡女士,女士,LEE,Hang-yee, Sharon,"LEE Hang-yee, Sharon",F,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
154,李,可期,李可期女士,女士,LEE,Ho-kei, Apollonia,"LEE Ho-kei, Apollonia",F,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
155,李,家超,李家超,,LEE,Ka-chiu, John,"LEE Ka-chiu, John",,Awards & Recognitions,Justices of the Peace,2012-10-26,Justices of the Peace
156,李,啟榮,李啟榮,,LEE,Kai-wing, Raymond,"LEE Kai-wing, Raymond",,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
157,李,國彬,李國彬,,LEE,Kwok-bun,,LEE Kwok-bun,,Awards & Recognitions,Justices of the Peace,2013-11-01,Justices of the Peace
158,李,國雄,李國雄,,LEE,Kwok-hung,,LEE Kwok-hung,,Awards & Recognitions,Justices of the Peace,2016-06-27,Justices of the Peace
159,利,敏貞,利敏貞女士,女士,LEE,Man-ching, Eliza,"LEE Man-ching, Eliza",F,Awards & Recognitions,Justices of the Peace,2004-07-01,Justices of the Peace
160,李,美美,李美美女士,女士,LEE,Mei-mei,,LEE Mei-mei,F,Awards & Recognitions,Justices of the Peace,2009-07-01,Justices of the Peace
161,李,佩詩,李佩詩女士,女士,LEE,Pui-sze, Charmaine,"LEE Pui-sze, Charmaine",F,Awards & Recognitions,Justices of the Peace,2013-07-01,Justices of the Peace
162,李,兆妍,李兆妍醫生,醫生,LEE,Siu-yin,,LEE Siu-yin,,Awards & Recognitions,Justices of the Peace,2014-07-01,Justices of the Peace
163,李,萃珍,李萃珍女士,女士,LEE,Sui-chun, Macella,"LEE Sui-chun, Macella",F,Awards & Recognitions,Justices of the Peace,2015-07-01,Justices of the Peace
164,李,大安,李大安工程師,工程師,LEE,Tai-on,,LEE Tai-on,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
165,李,達志,李達志,,LEE,Tat-chi, Howard,"LEE Tat-chi, Howard",,Awards & Recognitions,Justices of the Peace,2011-07-01,Justices of the Peace
166,李,偉彬,李偉彬工程師,工程師,LEE,Wai-bun,,LEE Wai-bun,,Awards & Recognitions,Justices of the Peace,2019-07-01,Justices of the Peace
